"REF_DATE","GEO","DGUID","Gender","Type of migrant","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017/2018","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","13182","","","","0"
"2018/2019","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","13391","","","","0"
"2019/2020","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","10769","","","","0"
"2020/2021","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","7994","","","","0"
"2021/2022","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","19288","","","","0"
"2022/2023","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","20338","","","","0"
"2023/2024","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","20561","","","","0"
"2024/2025","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","19429","","","","0"
"2000/2001","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","20167","","","","0"
"2001/2002","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","20264","","","","0"
"2002/2003","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","17177","","","","0"
"2003/2004","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","22169","","","","0"
"2004/2005","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","21222","","","","0"
"2005/2006","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","24344","","","","0"
"2006/2007","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","24082","","","","0"
"2007/2008","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","23580","","","","0"
"2008/2009","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","22794","","","","0"
"2009/2010","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","22759","","","","0"
"2010/2011","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","19900","","","","0"
"2011/2012","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","21188","","","","0"
"2012/2013","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","19626","","","","0"
"2013/2014","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","21096","","","","0"
"2014/2015","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","19222","","","","0"
"2015/2016","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","22819","","","","0"
"2016/2017","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","19306","","","","0"
"2017/2018","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","21971","","","","0"
"2018/2019","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","24463","","","","0"
"2019/2020","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","23042","","","","0"
"2020/2021","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","23747","","","","0"
"2021/2022","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","65444","","","","0"
"2022/2023","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","47261","","","","0"
"2023/2024","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","44177","","","","0"
"2024/2025","Canada","2021A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","39208","","","","0"
"2000/2001","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","40266","","","","0"
"2001/2002","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","40694","","","","0"
"2002/2003","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","31312","","","","0"
"2003/2004","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","37650","","","","0"
